PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;27;14;28079027_14_6;2020;10;06;08.39;V;11.70;V;05.92;V;21.84;V;13.88;N;16.54;V;06.90;V;02.99;V;03.42;V;09.32;V;19.52;V;28.55;V;24.99;V;29.53;V;40.08;V;54.16;V;61.04;V;54.97;V;53.21;V;37.17;V;00000;N;00000;N;00000;N;00000;N
28;079;35;1;28079035_1_38;2020;10;06;00008;V;00008;V;00008;V;00008;V;00009;V;00008;V;00009;V;00010;V;00012;V;00014;V;00012;V;00011;V;00251;N;00003;N;00002;V;00002;V;00002;V;00002;V;00002;V;00002;V;00000;N;00000;N;00000;N;00000;N
28;079;35;6;28079035_6_48;2020;10;06;000.3;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.7;V;000.6;V;000.6;V;000.4;V;004.9;N;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;35;7;28079035_7_8;2020;10;06;00003;V;00003;V;00003;V;00002;V;00004;V;00005;V;00011;V;00022;V;00098;V;00150;V;00095;V;00086;V;00044;V;00029;V;00012;V;00003;V;00004;V;00005;V;00002;V;00003;V;00000;N;00000;N;00000;N;00000;N
28;079;35;8;28079035_8_8;2020;10;06;00020;V;00019;V;00014;V;00015;V;00027;V;00047;V;00052;V;00049;V;00070;V;00088;V;00081;V;00079;V;00061;V;00051;V;00030;V;00012;V;00015;V;00024;V;00023;V;00032;V;00000;N;00000;N;00000;N;00000;N
28;079;35;12;28079035_12_8;2020;10;06;00024;V;00022;V;00018;V;00019;V;00034;V;00055;V;00068;V;00083;V;00220;V;00318;V;00227;V;00212;V;00127;V;00096;V;00048;V;00016;V;00022;V;00031;V;00026;V;00036;V;00000;N;00000;N;00000;N;00000;N
28;079;35;14;28079035_14_6;2020;10;06;48.27;V;46.52;V;47.56;V;42.63;V;29.74;V;09.63;V;04.59;V;02.30;V;02.33;N;03.33;V;06.96;V;11.12;V;20.41;V;28.59;V;47.55;V;59.10;V;56.58;V;50.09;V;52.28;V;41.26;V;00000;N;00000;N;00000;N;00000;N
28;079;36;1;28079036_1_38;2020;10;06;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00010;V;00011;V;00010;V;00010;V;00010;V;00010;V;00010;V;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00000;N;00000;N;00000;N;00000;N
28;079;36;6;28079036_6_48;2020;10;06;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.5;V;000.8;V;000.5;V;000.4;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;36;7;28079036_7_8;2020;10;06;00001;V;00001;V;00001;V;00002;V;00009;V;00013;V;00016;V;00059;V;00174;V;00081;V;00058;V;00055;V;00048;V;00024;V;00016;V;00004;V;00004;V;00003;V;00007;V;00006;V;00000;N;00000;N;00000;N;00000;N
28;079;36;8;28079036_8_8;2020;10;06;00037;V;00019;V;00018;V;00028;V;00043;V;00052;V;00057;V;00063;V;00092;V;00068;V;00063;V;00070;V;00068;V;00050;V;00042;V;00019;V;00016;V;00017;V;00025;V;00033;V;00000;N;00000;N;00000;N;00000;N
28;079;36;10;28079036_10_47;2020;10;06;00011;V;00010;V;00010;V;00009;V;00007;V;00016;V;00015;V;00022;V;00037;V;00047;V;00035;V;00027;V;00033;V;00033;V;00029;V;00017;V;00026;V;00003;V;00013;V;00012;V;00000;N;00000;N;00000;N;00000;N
28;079;36;12;28079036_12_8;2020;10;06;00039;V;00020;V;00020;V;00030;V;00056;V;00072;V;00082;V;00154;V;00358;V;00191;V;00152;V;00155;V;00141;V;00088;V;00066;V;00026;V;00021;V;00022;V;00035;V;00042;V;00000;N;00000;N;00000;N;00000;N
28;079;38;1;28079038_1_38;2020;10;06;00001;V;00001;V;00001;V;00001;V;00002;V;00001;V;00001;V;00003;V;00005;V;00007;V;00005;V;00004;V;00003;V;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N;00000;N
28;079;38;7;28079038_7_8;2020;10;06;00001;V;00001;V;00002;V;00001;V;00001;V;00001;V;00007;V;00073;V;00118;V;00168;V;00090;V;00050;V;00049;V;00030;V;00009;V;00004;V;00011;V;00008;V;00008;V;00011;V;00000;N;00000;N;00000;N;00000;N
28;079;38;8;28079038_8_8;2020;10;06;00014;V;00018;V;00017;V;00009;V;00016;V;00013;V;00035;V;00072;V;00086;V;00096;V;00078;V;00063;V;00064;V;00053;V;00022;V;00013;V;00024;V;00021;V;00021;V;00036;V;00000;N;00000;N;00000;N;00000;N
28;079;38;9;28079038_9_47;2020;10;06;00001;V;00006;V;00003;V;00001;V;00002;V;00004;V;00008;V;00007;V;00018;V;00013;V;00019;V;00020;V;00008;V;00001;V;00001;V;00005;V;00006;V;00005;V;00001;V;00007;V;00000;N;00000;N;00000;N;00000;N
28;079;38;10;28079038_10_47;2020;10;06;00005;V;00012;V;00007;V;00001;V;00005;V;00007;V;00013;V;00015;V;00033;V;00035;V;00049;V;00038;V;00025;V;00006;V;00002;V;00011;V;00011;V;00010;V;00002;V;00012;V;00000;N;00000;N;00000;N;00000;N
28;079;38;12;28079038_12_8;2020;10;06;00015;V;00020;V;00020;V;00010;V;00017;V;00014;V;00045;V;00183;V;00267;V;00353;V;00216;V;00140;V;00139;V;00099;V;00036;V;00019;V;00040;V;00034;V;00033;V;00053;V;00000;N;00000;N;00000;N;00000;N
28;079;38;20;28079038_20_59;2020;10;06;000.8;V;000.7;V;000.6;V;000.5;V;000.4;V;000.5;V;000.7;V;001.0;V;001.9;V;004.2;V;005.7;V;004.9;V;004.5;V;004.0;V;003.1;V;002.3;V;001.4;V;001.2;V;001.1;V;001.2;V;00000;N;00000;N;00000;N;00000;N
28;079;38;30;28079038_30_59;2020;10;06;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.4;V;000.8;V;001.2;V;000.9;V;000.9;V;000.6;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N
28;079;38;35;28079038_35_59;2020;10;06;000.5;V;000.4;V;000.4;V;000.4;V;000.4;V;000.4;V;000.5;V;000.5;V;000.6;V;001.2;V;001.4;V;001.3;V;001.2;V;001.1;V;000.8;V;000.7;V;000.6;V;000.5;V;000.5;V;000.5;V;00000;N;00000;N;00000;N;00000;N
28;079;39;6;28079039_6_48;2020;10;06;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.7;V;003.5;V;000.7;V;000.6;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;00000;N;00000;N;00000;N;00000;N
